file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\api\RJsonStore.java,org.redisson.api.RJsonStore,interface,13,13,0,13,83,1,0,0,3403,0.0,0.0,0.0,83,0,0,0,0,83,83,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\api\listener\SetAddListener.java,org.redisson.api.listener.SetAddListener,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\api\search\aggregate\GroupParams.java,org.redisson.api.search.aggregate.GroupParams,class,3,6,3,3,4,1,0,2,2,0.5,0.0,0.0,4,0,3,0,0,1,4,0,0,0,2,0,0,2,0,0,0,0,2,17,3,0,0,0,0,0,0,3,0,2,0,0,0,0,11,17,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\client\handler\CommandBatchEncoder.java,org.redisson.client.handler.CommandBatchEncoder,class,9,10,1,9,5,2,0,7,1,1.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,1,1,0,0,0,1,0,0,17,1,1,0,0,0,0,0,2,0,2,2,0,0,0,32,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\PubSubPatternMessageListener.java,org.redisson.PubSubPatternMessageListener,class,4,6,2,4,8,1,0,4,1,0.5,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,3,0,0,26,2,0,0,0,0,0,0,3,0,3,1,0,0,0,21,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\api\IdGenerator.java,org.redisson.api.IdGenerator,interface,2,7,5,2,2,1,0,0,1,0.0,0.0,0.0,2,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\client\protocol\convertor\LongNumberConvertor.java,org.redisson.client.protocol.convertor.LongNumberConvertor,class,1,1,0,1,9,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,31,5,0,0,0,1,1,0,3,0,3,2,0,0,0,18,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\api\RSortableAsync.java,org.redisson.api.RSortableAsync,interface,4,8,4,4,18,1,0,0,153,0.0,0.0,0.0,18,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\api\queue\QueueRemoveParams.java,org.redisson.api.queue.QueueRemoveParams,class,2,3,1,2,2,2,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\codec\MsgPackJacksonCodec.java,org.redisson.codec.MsgPackJacksonCodec,class,4,5,1,4,3,3,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\reactive\RedissonTransactionReactive.java,org.redisson.reactive.RedissonTransactionReactive,class,23,24,1,23,13,1,0,11,0,0.0,0.0,0.0,13,0,13,0,0,0,13,0,0,0,2,0,0,2,0,0,2,0,10,52,12,0,0,0,0,0,0,10,0,10,0,0,0,2,25,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\api\options\ExMapOptions.java,org.redisson.api.options.ExMapOptions,interface,11,16,5,11,9,1,0,0,36,0.0,0.0,0.0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\spring\cache\NullValue.java,org.redisson.spring.cache.NullValue,class,2,4,2,2,1,1,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,2,1,1,0,0,2,0,0,7,1,0,0,0,0,0,1,2,0,2,0,0,0,0,21,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\api\RObject.java,org.redisson.api.RObject,interface,5,10,5,5,27,1,0,0,351,0.0,0.0,0.0,27,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\pubsub\PublishSubscribe.java,org.redisson.pubsub.PublishSubscribe,class,9,20,11,9,19,1,0,26,16,0.6111111,0.0,0.0,9,0,5,1,2,1,8,2,0,0,2,0,0,2,0,0,2,0,0,111,9,0,7,0,0,0,2,12,0,24,4,1,0,7,43,1024,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\transaction\operation\ExpireOperation.java,org.redisson.transaction.operation.ExpireOperation$RedissonBucketExtended,innerclass,3,3,0,3,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\liveobject\LiveObjectTemplate.java,org.redisson.liveobject.LiveObjectTemplate,class,1,2,1,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\connection\RedisClientEntry.java,org.redisson.connection.RedisClientEntry,class,10,12,2,10,37,1,0,16,0,0.54901963,0.0,0.0,17,0,17,0,0,0,17,0,0,0,3,0,0,3,0,0,3,0,0,119,34,0,19,0,2,5,4,10,4,12,2,0,0,2,54,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\misc\AsyncSemaphore.java,org.redisson.misc.AsyncSemaphore,class,2,13,11,2,20,1,0,15,9,0.7,0.0,0.0,10,0,8,2,0,0,8,0,0,0,5,0,0,5,0,0,5,0,0,82,8,1,4,0,0,2,5,10,3,11,3,0,0,2,35,17,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\cache\ExpirableValue.java,org.redisson.cache.ExpirableValue,interface,0,2,2,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\client\protocol\decoder\StreamEntryStatusDecoder.java,org.redisson.client.protocol.decoder.StreamEntryStatusDecoder,class,5,5,0,5,5,1,0,9,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,3,22,2,1,0,0,0,0,1,5,0,4,1,0,0,0,15,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\api\search\index\FieldIndex.java,org.redisson.api.search.index.FieldIndex,interface,14,25,11,14,7,1,0,0,21,0.0,0.0,0.0,7,7,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0
C:\Users\kingl\Desktop\puc minas 1\repos\redisson__redisson\redisson\src\main\java\org\redisson\api\FunctionStats.java,org.redisson.api.FunctionStats$Engine,innerclass,0,0,0,0,3,1,0,0,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,9,9,0
